"","habitatbenthopelagic","habitatdemersal","habitatpelagic","SpecCode","waterbrack","watersaltwater","Species","Genus","Subfamily","Family","Order","Class","SuperClass","c_m","tm","Lm","tmax","K","Woo","M","TLDiet","Loo","fecundity","Min_caudalpeduncle_depth","Lower_jaw_length","Max_body_depth","Max_body_width","Temperature"
"Chaetodontoplus_niger",1,0,0,60410,0,1,"Chaetodontoplus niger","Chaetodontoplus",NA,"Pomacanthidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.64000010490417,NA,NA,NA,NA,NA,NA,NA
"Chaetodontoplus_personifer",1,0,0,10828,0,1,"Chaetodontoplus personifer","Chaetodontoplus",NA,"Pomacanthidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.69,NA,NA,NA,NA,NA,NA,28.1
"Chaetodontoplus_poliourus",1,0,0,65526,0,1,"Chaetodontoplus poliourus","Chaetodontoplus",NA,"Pomacanthidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.76999998092651,NA,NA,NA,NA,NA,NA,29
"Chaetodontoplus_septentrionalis",1,0,0,11124,0,1,"Chaetodontoplus septentrionalis","Chaetodontoplus",NA,"Pomacanthidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.66,NA,NA,NA,NA,NA,NA,28.7
"Chaetodontoplus_vanderloosi",1,0,0,64204,0,1,"Chaetodontoplus vanderloosi","Chaetodontoplus",NA,"Pomacanthidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.71000003814697,NA,NA,NA,NA,NA,NA,NA
"Chaeturichthys_jeoni",0,1,0,66970,0,1,"Chaeturichthys jeoni","Chaeturichthys","Gobionellinae","Gobiidae","Gobiiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.66000008583069,NA,NA,NA,NA,NA,NA,16.8
"Chaeturichthys_stigmatias",0,1,0,23699,0,1,"Chaeturichthys stigmatias","Chaeturichthys","Gobionellinae","Gobiidae","Gobiiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.84,NA,NA,NA,NA,NA,NA,NA
"Chalaroderma_capito",0,1,0,16942,0,1,"Chalaroderma capito","Chalaroderma","Salariinae","Blenniidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"Chalaroderma_ocellata",0,1,0,16943,0,1,"Chalaroderma ocellata","Chalaroderma","Salariinae","Blenniidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.04999995231628,NA,NA,NA,NA,NA,NA,NA
"Chalixodytes_chameleontoculis",1,0,0,16930,0,1,"Chalixodytes chameleontoculis","Chalixodytes",NA,"Creediidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.16000008583069,NA,NA,NA,NA,NA,NA,NA
"Chalixodytes_tauensis",1,0,0,17454,0,1,"Chalixodytes tauensis","Chalixodytes",NA,"Creediidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.16000008583069,NA,NA,NA,NA,NA,NA,28.4
"Champsocephalus_esox",0,1,0,5133,0,1,"Champsocephalus esox","Champsocephalus",NA,"Channichthyidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.94,NA,NA,-1.92858725323904,-0.286241938828542,-0.704413420024391,-0.707228383224125,6.4
"Champsocephalus_gunnari",1,0,0,474,0,1,"Champsocephalus gunnari","Champsocephalus",NA,"Channichthyidae","Perciformes","Teleostei","Osteichthyes",NA,1.38629436111989,NA,2.56494935746154,0.234922857142857,7.51483066555152,0.32308,3.23,4.11338826481972,9.01746105543703,NA,NA,NA,NA,1.5
"Champsodon_atridorsalis",0,1,0,52892,0,1,"Champsodon atridorsalis","Champsodon",NA,"Champsodontidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.17000007629395,NA,NA,-1.58293124286098,-0.341707169190904,-0.459038519204987,-0.835523294014656,25.9
"Champsodon_capensis",0,1,0,10296,0,1,"Champsodon capensis","Champsodon",NA,"Champsodontidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,15.1
"Champsodon_fimbriatus",1,0,0,52893,0,1,"Champsodon fimbriatus","Champsodon",NA,"Champsodontidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.15999984741211,NA,NA,NA,NA,NA,NA,8.7
"Champsodon_guentheri",0,0,1,10358,0,1,"Champsodon guentheri","Champsodon",NA,"Champsodontidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.26000022888184,NA,NA,NA,NA,NA,NA,9.7
"Champsodon_longipinnis",0,0,1,10502,0,1,"Champsodon longipinnis","Champsodon",NA,"Champsodontidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.11999988555908,NA,NA,NA,NA,NA,NA,26.2
"Champsodon_machaeratus",0,1,0,52895,0,1,"Champsodon machaeratus","Champsodon",NA,"Champsodontidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.99000000953674,NA,NA,NA,NA,NA,NA,12
"Champsodon_nudivittis",0,0,1,10357,0,1,"Champsodon nudivittis","Champsodon",NA,"Champsodontidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.09000015258789,NA,NA,NA,NA,NA,NA,24.6
"Champsodon_omanensis",0,1,0,15604,0,1,"Champsodon omanensis","Champsodon",NA,"Champsodontidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.09999990463257,NA,NA,NA,NA,NA,NA,14.4
"Champsodon_pantolepis",0,1,0,52900,0,1,"Champsodon pantolepis","Champsodon",NA,"Champsodontidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.21000003814697,NA,NA,NA,NA,NA,NA,NA
"Champsodon_sagittus",0,1,0,52896,0,1,"Champsodon sagittus","Champsodon",NA,"Champsodontidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.91000008583069,NA,NA,NA,NA,NA,NA,22.4
"Champsodon_sechellensis",0,1,0,52768,0,1,"Champsodon sechellensis","Champsodon",NA,"Champsodontidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.07000017166138,NA,NA,NA,NA,NA,NA,23.9
"Champsodon_snyderi",0,1,0,23513,0,1,"Champsodon snyderi","Champsodon",NA,"Champsodontidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.02,NA,NA,NA,NA,NA,NA,NA
"Champsodon_vorax",0,1,0,52902,0,1,"Champsodon vorax","Champsodon",NA,"Champsodontidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.95000004768372,NA,NA,NA,NA,NA,NA,27.3
"Channa_brunnea",1,0,0,69341,0,1,"Channa brunnea","Channa",NA,"Channidae","Anabantiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.55999994277954,NA,NA,NA,NA,NA,NA,NA
"Channichthys_aelitae",0,1,0,60587,0,1,"Channichthys aelitae","Channichthys",NA,"Channichthyidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.71000003814697,NA,NA,NA,NA,NA,NA,NA
"Channichthys_bospori",0,1,0,60588,0,1,"Channichthys bospori","Channichthys",NA,"Channichthyidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.70000004768372,NA,NA,NA,NA,NA,NA,NA
"Channichthys_irinae",0,1,0,60589,0,1,"Channichthys irinae","Channichthys",NA,"Channichthyidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.59999990463257,NA,NA,NA,NA,NA,NA,1.6
"Channichthys_mithridatis",0,1,0,64921,0,1,"Channichthys mithridatis","Channichthys",NA,"Channichthyidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.73000001907349,NA,NA,NA,NA,NA,NA,NA
"Channichthys_panticapaei",0,1,0,52686,0,1,"Channichthys panticapaei","Channichthys",NA,"Channichthyidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.71000003814697,NA,NA,NA,NA,NA,NA,NA
"Channichthys_rhinoceratus",0,1,0,477,0,1,"Channichthys rhinoceratus","Channichthys",NA,"Channichthyidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,0.261,NA,NA,3.25,NA,9.12396515622944,-1.81696834462417,-0.272063656918437,-0.648800558744695,-0.450407490210353,1.8
"Channichthys_richardsoni",0,1,0,66607,0,1,"Channichthys richardsoni","Channichthys",NA,"Channichthyidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.69000005722046,NA,NA,NA,NA,NA,NA,NA
"Channichthys_rugosus",0,1,0,61361,0,1,"Channichthys rugosus","Channichthys",NA,"Channichthyidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.14000010490417,NA,NA,NA,NA,NA,NA,NA
"Channichthys_velifer",0,1,0,60330,0,1,"Channichthys velifer","Channichthys",NA,"Channichthyidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.35,NA,NA,NA,NA,NA,NA,2.5
"Channomuraena_bauchotae",0,1,0,62160,0,1,"Channomuraena bauchotae","Channomuraena","Uropterygiinae","Muraenidae","Anguilliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.74000000953674,NA,NA,NA,NA,NA,NA,NA
"Channomuraena_vittata",1,0,0,1097,0,1,"Channomuraena vittata","Channomuraena","Uropterygiinae","Muraenidae","Anguilliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,27.7
"Chanos_chanos",1,0,0,80,1,1,"Chanos chanos","Chanos",NA,"Chanidae","Gonorynchiformes","Teleostei","Osteichthyes",3.26938787157693,1.74523945359316,NA,NA,1.0325,6.79309286225066,NA,2.40000009536743,3.76892216178747,13.9270519326972,-1.28979835212177,-1.54746665018846,-0.212939078863219,-0.867134505283716,28.2
"Chelidonichthys_lastoviza",0,1,0,5081,0,1,"Chelidonichthys lastoviza","Chelidonichthys","Triglinae","Triglidae","Scorpaeniformes","Teleostei","Osteichthyes",NA,1.09861228866811,NA,2.86220088092947,0.403062727272727,6.13663827583711,0.435,3.49,3.49814258771863,NA,NA,NA,NA,NA,11.8
"Chelidonichthys_lucerna",0,1,0,1366,0,1,"Chelidonichthys lucerna","Chelidonichthys","Triglinae","Triglidae","Scorpaeniformes","Teleostei","Osteichthyes",NA,0.940007254766181,2.99189157416805,2.70805020110221,0.328894,7.18572294749396,0.29,3.98,NA,NA,-1.88389763833355,-0.884800153590641,-0.557935537835283,-0.509813678162475,9.8
"Chelidonichthys_obscurus",0,1,0,9197,0,1,"Chelidonichthys obscurus","Chelidonichthys","Triglinae","Triglidae","Scorpaeniformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.74,NA,NA,-1.94644854407559,-0.767991312987236,-0.569192333570764,-0.683818877593367,14.7
"Chelidonichthys_queketti",0,1,0,7948,0,1,"Chelidonichthys queketti","Chelidonichthys","Triglinae","Triglidae","Scorpaeniformes","Teleostei","Osteichthyes",NA,0.530628279111415,2.9704144655697,1.94591014905531,0.485,7.29279228022255,0.62,3.77,3.44201937618241,NA,-1.82029147175,-0.862261133703082,-0.475844220565613,-0.678891907876684,16.7
"Chelidonichthys_spinosus",0,1,0,4598,0,1,"Chelidonichthys spinosus","Chelidonichthys","Triglinae","Triglidae","Scorpaeniformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.69000005722046,NA,NA,-1.82381943175036,-0.799236705387659,-0.508540519131848,-0.5481662390499,17.9
"Chelidoperca_africana",0,1,0,5100,0,1,"Chelidoperca africana","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.61999988555908,NA,NA,NA,NA,NA,NA,15.8
"Chelidoperca_barazeri",0,1,0,69284,0,1,"Chelidoperca barazeri","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.22000002861023,NA,NA,NA,NA,NA,NA,NA
"Chelidoperca_cerasina",0,1,0,69280,0,1,"Chelidoperca cerasina","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.70000004768372,NA,NA,NA,NA,NA,NA,NA
"Chelidoperca_flavimacula",1,0,0,69485,0,1,"Chelidoperca flavimacula","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.47000002861023,NA,NA,NA,NA,NA,NA,NA
"Chelidoperca_flavolineata",0,1,0,69281,0,1,"Chelidoperca flavolineata","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.63000011444092,NA,NA,NA,NA,NA,NA,NA
"Chelidoperca_formosa",0,1,0,69650,0,1,"Chelidoperca formosa","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.45000004768372,NA,NA,NA,NA,NA,NA,NA
"Chelidoperca_hirundinacea",0,1,0,8237,0,1,"Chelidoperca hirundinacea","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.03,NA,NA,NA,NA,NA,NA,20.2
"Chelidoperca_investigatoris",0,1,0,60291,0,1,"Chelidoperca investigatoris","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.71000003814697,NA,NA,NA,NA,NA,NA,NA
"Chelidoperca_lecromi",0,1,0,56308,0,1,"Chelidoperca lecromi","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.66000008583069,NA,NA,NA,NA,NA,NA,22.6
"Chelidoperca_leucostigmata",0,1,0,69282,0,1,"Chelidoperca leucostigmata","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.52999997138977,NA,NA,NA,NA,NA,NA,NA
"Chelidoperca_maculicauda",0,1,0,66968,0,1,"Chelidoperca maculicauda","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.58999991416931,NA,NA,NA,NA,NA,NA,NA
"Chelidoperca_margaritifera",0,1,0,15050,0,1,"Chelidoperca margaritifera","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.36999988555908,NA,NA,NA,NA,NA,NA,23.2
"Chelidoperca_microdon",0,1,0,69283,0,1,"Chelidoperca microdon","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.55999994277954,NA,NA,NA,NA,NA,NA,NA
"Chelidoperca_myathantuni",1,0,0,69484,0,1,"Chelidoperca myathantuni","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.66000008583069,NA,NA,NA,NA,NA,NA,NA
"Chelidoperca_occipitalis",0,1,0,66969,0,1,"Chelidoperca occipitalis","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.64000010490417,NA,NA,NA,NA,NA,NA,NA
"Chelidoperca_pleurospilus",0,1,0,23418,0,1,"Chelidoperca pleurospilus","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.66000008583069,NA,NA,NA,NA,NA,NA,19.1
"Chelidoperca_santosi",0,0,1,67613,0,1,"Chelidoperca santosi","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.51999998092651,NA,NA,NA,NA,NA,NA,NA
"Chelidoperca_stella",1,0,0,68588,0,1,"Chelidoperca stella","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.47000002861023,NA,NA,NA,NA,NA,NA,NA
"Chelidoperca_tosaensis",1,0,0,68807,0,1,"Chelidoperca tosaensis","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.51999998092651,NA,NA,NA,NA,NA,NA,NA
"Chelmon_marginalis",1,0,0,6650,0,1,"Chelmon marginalis","Chelmon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.47000002861023,NA,NA,-1.41267079756902,-0.964156593553159,0.356236451043734,-1.16408089766488,27.5
"Chelmon_muelleri",1,0,0,6651,1,1,"Chelmon muelleri","Chelmon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,27.4
"Chelmon_rostratus",1,0,0,5483,1,1,"Chelmon rostratus","Chelmon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,-1.45110548888159,-0.46242126550356,0.381166006683287,-1.24524434998682,28.5
"Chelmonops_curiosus",1,0,0,25434,0,1,"Chelmonops curiosus","Chelmonops",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.29,NA,NA,NA,NA,NA,NA,17
"Chelmonops_truncatus",1,0,0,10286,0,1,"Chelmonops truncatus","Chelmonops",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.79,NA,NA,NA,NA,NA,NA,18.3
"Chelon_auratus",0,0,1,1735,1,1,"Chelon auratus","Chelon",NA,"Mugilidae","Mugiliformes","Teleostei","Osteichthyes",NA,1.25276296849537,3.41772668361337,1.90954250488444,0.2516,7.66211266876148,0.473333333333333,2.84,NA,13.5797882244432,NA,NA,NA,NA,11.9
"Chelon_bandialensis",0,1,0,66211,1,1,"Chelon bandialensis","Chelon",NA,"Mugilidae","Mugiliformes","Teleostei","Osteichthyes",2.63254486785165,NA,NA,NA,NA,NA,NA,2.60999989509583,NA,NA,NA,NA,NA,NA,NA
"Chelon_bispinosus",0,1,0,22487,0,1,"Chelon bispinosus","Chelon",NA,"Mugilidae","Mugiliformes","Teleostei","Osteichthyes",2.63254486785165,NA,NA,NA,NA,NA,NA,2.75,NA,NA,NA,NA,NA,NA,NA
"Chelon_caeruleus",0,1,0,69222,0,1,"Chelon caeruleus","Chelon",NA,"Mugilidae","Mugiliformes","Teleostei","Osteichthyes",2.63254486785165,NA,NA,NA,NA,NA,NA,2.58999991416931,NA,NA,NA,NA,NA,NA,NA
"Chelon_dumerili",0,1,0,5115,1,1,"Chelon dumerili","Chelon",NA,"Mugilidae","Mugiliformes","Teleostei","Osteichthyes",2.63254486785165,NA,NA,NA,0.485,NA,NA,2.68,NA,NA,NA,NA,NA,NA,26.1
"Chirolophis_japonicus",1,0,0,13154,0,1,"Chirolophis japonicus","Chirolophis","Chirolophinae","Stichaeidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.63000011444092,NA,NA,NA,NA,NA,NA,NA
"Chirolophis_nugator",0,1,0,3781,0,1,"Chirolophis nugator","Chirolophis","Chirolophinae","Stichaeidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,7.9
"Chirolophis_saitone",0,1,0,23772,0,1,"Chirolophis saitone","Chirolophis","Chirolophinae","Stichaeidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.34999990463257,NA,NA,NA,NA,NA,NA,17.1
"Chirolophis_snyderi",0,1,0,23773,0,1,"Chirolophis snyderi","Chirolophis","Chirolophinae","Stichaeidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.48000001907349,NA,NA,NA,NA,NA,NA,2.7
"Chirolophis_tarsodes",0,1,0,3782,0,1,"Chirolophis tarsodes","Chirolophis","Chirolophinae","Stichaeidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.4300000667572,NA,NA,NA,NA,NA,NA,8.6
"Chirolophis_wui",0,1,0,60430,0,1,"Chirolophis wui","Chirolophis","Chirolophinae","Stichaeidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.50999999046326,NA,NA,NA,NA,NA,NA,NA
"Chironemus_bicornis",0,1,0,54945,0,1,"Chironemus bicornis","Chironemus",NA,"Chironemidae","Centrarchiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.34999990463257,NA,NA,-1.25738879819311,-1.1351955093949,-0.415302763354319,-0.608292820758033,NA
"Chironemus_delfini",0,1,0,60597,0,1,"Chironemus delfini","Chironemus",NA,"Chironemidae","Centrarchiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.34999990463257,NA,NA,NA,NA,NA,NA,NA
"Chascanopsetta_crumenalis",0,1,0,24580,0,1,"Chascanopsetta crumenalis","Chascanopsetta",NA,"Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.67000007629395,NA,NA,NA,NA,NA,NA,3.1
"Chascanopsetta_danae",0,1,0,69151,0,1,"Chascanopsetta danae","Chascanopsetta",NA,"Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.71000003814697,NA,NA,NA,NA,NA,NA,NA
"Chascanopsetta_elski",0,1,0,58964,0,1,"Chascanopsetta elski","Chascanopsetta",NA,"Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.67000007629395,NA,NA,NA,NA,NA,NA,NA
"Chascanopsetta_kenyaensis",0,1,0,58966,0,1,"Chascanopsetta kenyaensis","Chascanopsetta",NA,"Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.67000007629395,NA,NA,NA,NA,NA,NA,10.1
"Chascanopsetta_lugubris",0,1,0,1323,0,1,"Chascanopsetta lugubris","Chascanopsetta",NA,"Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,5.7
"Chascanopsetta_megagnatha",0,1,0,59543,0,1,"Chascanopsetta megagnatha","Chascanopsetta",NA,"Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.6800000667572,NA,NA,NA,NA,NA,NA,11.1
"Chascanopsetta_micrognatha",0,1,0,24356,0,1,"Chascanopsetta micrognatha","Chascanopsetta",NA,"Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.71000003814697,NA,NA,NA,NA,NA,NA,15.3
"Chascanopsetta_novaeguineae",0,1,0,69682,0,1,"Chascanopsetta novaeguineae","Chascanopsetta",NA,"Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.71000003814697,NA,NA,NA,NA,NA,NA,NA
"Chascanopsetta_prognatha",0,1,0,24227,0,1,"Chascanopsetta prognatha","Chascanopsetta",NA,"Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.67000007629395,NA,NA,NA,NA,NA,NA,8.7
"Chascanopsetta_prorigera",0,1,0,24561,0,1,"Chascanopsetta prorigera","Chascanopsetta",NA,"Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.15000009536743,NA,NA,NA,NA,NA,NA,4.6
"Chasmodes_bosquianus",0,1,0,3754,1,1,"Chasmodes bosquianus","Chasmodes","Salariinae","Blenniidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,18.4
"Chasmodes_longimaxilla",0,1,0,59791,0,1,"Chasmodes longimaxilla","Chasmodes","Salariinae","Blenniidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"Chasmodes_saburrae",0,1,0,3755,1,1,"Chasmodes saburrae","Chasmodes","Salariinae","Blenniidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.47,NA,NA,-1.51823325341941,-1.06221560240418,-0.290649793872158,-0.673309251819555,26.1
"Chatrabus_felinus",0,1,0,23162,0,1,"Chatrabus felinus","Chatrabus","Halophryninae","Batrachoididae","Batrachoidiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.33,NA,NA,NA,NA,NA,NA,NA
"Chatrabus_hendersoni",0,1,0,17065,1,1,"Chatrabus hendersoni","Chatrabus","Halophryninae","Batrachoididae","Batrachoidiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.41000008583069,NA,NA,NA,NA,NA,NA,NA
"Chatrabus_melanurus",0,1,0,10255,0,1,"Chatrabus melanurus","Chatrabus","Halophryninae","Batrachoididae","Batrachoidiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,12.1
"Chauliodus_barbatus",0,0,1,55080,0,1,"Chauliodus barbatus","Chauliodus","Chauliodontinae","Stomiidae","Stomiiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.1399998664856,NA,NA,NA,NA,NA,NA,2.3
"Chauliodus_danae",0,0,1,11712,0,1,"Chauliodus danae","Chauliodus","Chauliodontinae","Stomiidae","Stomiiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.01,NA,NA,-1.80871070086334,-0.33194709525659,-0.270567907946896,-1.53244395822147,20.7
"Chauliodus_dentatus",0,0,1,59117,0,1,"Chauliodus dentatus","Chauliodus","Chauliodontinae","Stomiidae","Stomiiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.17999982833862,NA,NA,NA,NA,NA,NA,NA
"Chauliodus_macouni",0,0,1,2714,0,1,"Chauliodus macouni","Chauliodus","Chauliodontinae","Stomiidae","Stomiiformes","Teleostei","Osteichthyes",NA,NA,NA,2.07944154167984,0.35,3.70391682401566,0.5,4.5,3.13549421592915,NA,-1.84109539693003,-0.279389999433434,-0.46150883256411,-1.21845275775562,2.4
"Chauliodus_minimus",0,0,1,11714,0,1,"Chauliodus minimus","Chauliodus","Chauliodontinae","Stomiidae","Stomiiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.99000000953674,NA,NA,NA,NA,NA,NA,19.5
