# id: GB/NERC/BAS/PDC/02058
# title: A compilation of metabolic rate, body mass and body temperature (where available) data for a range of vertebrate and invertebrate species
# summary: Data on the resting metabolic rate, body mass and body temperature data for a range of vertebrate and invertebrate taxa culled from the literature for a comprehensive study of scaling relationships.
# : The data are global in extent.
# : Funding acknowledgement: 
# : BAS Core Funding
# keywords: mass,metabolic rate,scaling,temperature
# citation: Clarke, A., & Johnston, N.M. (2025). A compilation of metabolic rate, body mass and body temperature (where available) data for a range of vertebrate and invertebrate species (Version 1.0) [Data set]. NERC EDS UK Polar Data Centre. https://doi.org/10.5285/8d9ffd4a-16c0-4d48-9fc9-02988676ef78
# license: http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
# history: Data for mammals, birds, reptiles, echinoderms, cephalopods and cnidarians were from previous compilations available in the published scientific literature.  Data for fish were compiled from published studies, validated and collated.
# comment: With the exception of the data for teleost fish, data were extracted from the literature, relying on quality control by the original compiler.  The fish data were edited to exclude data where fish were active, or where the range of body mass was too small for scaling parameters to be determined with precision.
# : The data have not been processed other than converting original units to SI where appropriate. For publication the data were analysed using Minitab (version 16) and R (version 4.4.2).
# institution: British Antarctic Survey
# authors: Andrew Clarke,Nadine M. Johnston
# publisher_name: NERC EDS UK Polar Data Centre
# publisher_type: institution
# publisher_email: pdc@bas.ac.uk
# publisher_url: https://www.bas.ac.uk/data/uk-pdc/
# missing values: blank cell
Type,Authors,Date,Journal,Title,Volume,Issue,Pages,doi,Book title,Editor,Place of publication,Publisher
Journal Article,J. B. Graham; R. Dudley; N. M. Aguilar; C. Gans,1995,Nature,Implications of the late Paleozoic oxygen pulse for physiology and evolution,375,6527,17-120,10.1038/375117a0,,,,
Journal Article,L. Gu; P. J. Hanson; W. Mac Post; Q. Liu,2008,Global Biogeochemical Cycles,A novel approach for identifying the true temperature sensitivity from soil respiration measurements,27,4,article GB4009,10.1029/2007GB003164,,,,
Journal Article,E. Hadas; M. Ilan; M. Shpigel,2008,Journal of Experimental Biology,Oxygen consumption by a coral reef sponge,211,13,2185-2190,10.1242/jeb.015420,,,,
Magazine Article,J. B. S. Haldane,1926,Harper's Magazine,On being the right size,152,910,424-427,,,,,
Journal Article,S. Hamdi; F. Moyano; S. Sall; M. Bernoux; T. Chevalier,2013,Soil Biology & Biochemistry,Synthesis analysis of the temperature sensitivity of soil respiration from laboratory studies in relation to incubation methods and soil conditions,58,1,115-126,10.1016/j.soilbio.2012.11.012,,,,
Journal Article,S. T. Hammond; K. J. Niklas,2012,American Journal of Botany,Computer simulations support a core prediction of a contentious plant model,99,3,508-516,10.3732/ajb.1100415,,,,
Journal Article,J. F. Harrison; A. Kaiser; J. M. VandenBrooks,2010,"Proceedings of the Royal Society of London, Series B",Atmospheric oxygen level and the evolution of insect body size,277,1690,1837-1946,10.1098/rspb.2010.0001,,,,
Journal Article,J. Harte; T. Zillio; E. Conslick; A. B. Smith,2008,Ecology,Maximum entropy and the state-variable approach to macroecology,89,10,2700-2711,10.1890/07-1369.1,,,,
Journal Article,H. Hartikainen; S. Humphries; B. Okamura,2014,Journal of Experimental Biology,Form and metabolic scaling in colonial animals,217,5,779-786,10.1242/jeb.093484,,,,
Journal Article,I. A. Hatton; A. P. Dobson; D. A. Storch; E. D. Galbraith; M. Loreau,2019,Proceedings of the National Academy of Sciences of the United States of America,Linking scaling laws across eukaryotes,116,43,21616-21622,10.1073/pnas.1900492116,,,,
Journal Article,A. J. S. Hawkins; B. L. Bayne; A. J. Day,1986,"Proceedings of the Royal Society of London, Series B","Protein turnover, physiological energetics and heterozygosity in the blue mussel, Mytilus edulis: the basis of variable age-specific growth",229,1255,161-178,10.1098/rspb.1986.0080,,,,
Journal Article,A. J. S. Hawkins; A. J. Day,1996,Journal of Experimental Marine Biology and Ecology,The metabolic basis of genetic differences in growth efficiency among marine animals,203,1,93-115,10.1016/0022-0981(96)02572-5,,,,
Journal Article,B. A. Hawkins; F. S. Albuquerque; M. B. Ara jo; J. Beck; L. M. Bini; F. J. Cabrero-Sa udo; I. Castro-Parga; J. A. F. Diniz-Filho; D. Ferrer-Cast n; R. Field; J. F. G mez; J. Hortal; J. T. Kerr; I. R. Kitching; J. L. Le n-Cort s; J. M. Lobo; D. Montoya; J. C. Moreno; M.  . Olalla-T rraga; J. G. Pausas; H. Qian; C. Rahbek; M.  . Rodr guez; N. J. Sanders; P. H. Williams,2007,Ecology,A global evaluation of metabolic theory as an explanation for terrestrial species richness gradients,88,8,1877-1888,10.1890/06-1444.1,,,,
Book Section,R. F. Hechinger; K. D. Lafferty; A. M. Kuris,2012,,Parasites,,,234-247,,Metaboloc ecology: a scaling approach,R. M. Sibly; J. H. Brown; A. Kodric-Brown,Chichester,John Wiley & Sons
Journal Article,A. M. Hein; C. Hou; J. F. Gillooly,2012,Ecology Letters,Energetic and biomechanical constraints on animal migration distance,15,2,104-110,10.1111/j.1461-0248.2011.01714.x,,,,
Journal Article,A. M. Hemmingsen,1950,Reports of the Steno Memorial Hospital and the Nordisk Insulinlaboratorium,The relation of standard (basal) energy metabolism to total fresh weight of living organisms,4,1,Jan-48,,,,,
Journal Article,A. M. Hemmingsen,1960,Reports of the Steno Memorial Hospital and the Nordisk Insulinlaboratorium,"Energy metabolism as related to body size and respiratory surfaces, and its evolution",9,1,1-110,,,,,
Journal Article,A. A. Heusner,1985,Annual Review of Nutrition,Body size and energy metabolism,5,,267-293,10.1146/annurev.nu.05.0701885.001411,,,,
Journal Article,A. A. Heusner,1991,Journal of Nutrition,"Body mass, maintenance and basal metabolism in dogs",121,,S8-S17,10.1093/jn/121.suppl_11.S8,,,,
Book,R. W. Hill; G. A. Wyse; M. Anderson,2008,,,,,762,,Animal physiology,,"Sunderland, Massachusetts",Sinauer Associates
Journal Article,A. G. Hirst; J. Forster,2013,"Proceedings of the Royal Society of London, Series B",When growth models are not universal: evidence from marine invertebrates,280,1768,article 20131546,10.1098/rspb.2013.1546,,,,
Journal Article,A. G. Hirst; D. S. Glazier; D. Atkinson,2014,Ecology Letters,Body shape shifting during growth permits tests that distinguish between competing geometric theories of metabolic scaling,17,10,1274-1281,10.1111/ele.12334,,,,
Journal Article,J. K. Hobbs; W. Jiao; A. D. Easter; E. J. Parker; L. A. Schipper; V. L. Arcus,2013,ACS Chemical Biology,Change in heat capacity for enzyme catalysis determines temperature dependence of enzyme catalysed rates,8,11,2388-2393,10.1021/cb4005029,,,,
Book,F. L. Holmes,1985,,,,,565,,Lavoisier and the chemistry of life: an exploration of scientific creativity,W. Coleman; D. C. Lindberg; R. L. Numbers,"Madison, Wisconsin",University of Wisconsin Press
Journal Article,D. W. E. Hone; M. J. Benton,2005,Trends in Ecology & Evolution,The evolution of large size: how does Cope s Rule work?,20,1,04-Jun,10.1016/j.tree.2004.10.012,,,,
Journal Article,C. Hou; W. Zuo; M. E. Moses; W. H. Woodruff; J. H. Brown; G. B. West,2008,Science,Energy uptake and allocation during ontogeny,322,5902,736-739,10.1126/science.1162302,,,,
Journal Article,L. N. Hudson; N. J. B. Isaac; D. C. Reuman,2013,Journal of Animal Ecology,The relationship between body mass and field metabolic rate among individual birds and mammals,82,5,1009-1020,10.1111/1365-2656.12086,,,,
Journal Article,M. Huete-Ortega; P. Cerme o; A. Calvo-D az; E. Mara  n,2012,"Proceedings of the Royal Society of London, Series B",Isometric size-scaling of metabolic rate and the size abundance distribution of phytoplankton,279,1734,1815-1823,10.1098/rspb.2011.2257,,,,
Journal Article,D. J. Hughes; R. N. Hughes,1986,"Proceedings of the Royal Society of London, Series B",Life history variation in Celleporella hyalina (Bryozoa),228,1251,127-132,10.1098/rspb.1986.0046,,,,
Book,R. N. Hughes,1989,,,,,331,,A functional biology of clonal animals,P. Calow,London,Chapman and Hall
Journal Article,R. N. Hughes,2005,Scientia Marina,Lessons in modularity: the evolutionary ecology of colonial invertebrates,69,,169-179,10.3989/scimar.2005.69s1169,,,,
Journal Article,S. J. M. Hughes; H. A. Ruhl; L. E. Hawkins; C. Hauton; B. Boorman; D. S. M. Billett,2011,Journal of Experimental Biology,"Deep-sea echinoderm oxygen consumption rates and an interclass comparison of metabolic rates in Asteroidea, Crinoidea, Echinoidea, Holothuroidea and Ophiuroidea",214,15,2512-2521,10.1242/jeb.055954,,,,
Journal Article,M. M. Humphries; K. S. McCann,2014,Journal of Animal Ecology,Metabolic ecology,83,1,Jul-19,10.1111/1365-2656.12124,,,,
Journal Article,Y. Huo; G. S. Kassab,2012,Journal of the Royal Society Interface,Intraspecific scaling laws of vascular trees,9,66,190-200,10.1098/rsif.2011.0270,,,,
Book,J. S. Huxley,1932,,,,,276,,Problems of relative growth,,London,Methuen & Co
Journal Article,J. S. Huxley; G. Teissier,1936,Nature,Terminology of relative growth,137,3471,780-781,10.1038/137780b0,,,,
Journal Article,J. Igea; A. J. Tanentzap,2020,Ecology Letters,Angiosperm speciation cools down in the tropics,23,4,692-700,10.1111/ele.13476,,,,
Journal Article,T. Ikeda,1985,Marine Biology,Metabolic rates of epipelagic marine zooplankton as a function of body mass and temperature,85,1,01-Nov,10.1007/BF00396409,,,,
Journal Article,T. Ikeda; Y. Kanno; K. Ozaki; A. Shinada,2001,Marine Biology,Metabolic rates of epipelagic marine copepods as a function of body mass and temperature,139,3,587-596,10.1007/s002270100608,,,,
Journal Article,T. Ikeda; F. Sano; A. Yamaguchi,2007,Marine Ecology Progress Series,Respiration in marine pelagic copepods: a global-bathymetric model,339,,215-219,10.3354/meps339215,,,,
Journal Article,I. V. Ivleva,1980,Internationale Revue der gesamten Hydrobiologie,The dependence of crustacean respiration on body mass and habitat temperature,65,1,Jan-47,10.1002/iroh.19800650102,,,,
Journal Article,C. N. Jenkins; S. L. Pimm; L. N. Joppa,2013,Proceedings of the National Academy of Sciences of the United States of America,Global patterns of terrestrial vertebrate diversity and conservation,110,28,E2602-E2610,10.1073/pnas.1302251110,,,,
Journal Article,W. Jetz; C. Carbone; J. H. Brown,2004,Science,The scaling of animal space use,306,5694,266-268,10.1126/science.1102138,,,,
Journal Article,M. D. Johnson; J. V lker; H. V. Moeller; E. Laws; K. J. Breslauer; P. G. Falkowski,2009,Proceedings of the National Academy of Sciences of the United States of America,Universal constant for heat production in protists,106,16,6696-6699,10.1073/pmas.0902005106,,,,
Journal Article,P. L. Jokiel; J. O. Morrissey,1986,Marine Biology,Influence of size on primary production in the reef coral Pocillopora damicornis and the macroalga Acanthophira spicifera,91,1,15-26,10.1007/BF00397566,,,,
Journal Article,K. E. Jones; J. Bielby; M. Cardillo; S. A. Fritz; J. O'Dell; C. D. L. Orme; K. Safi; W. Sechrest; E. H. Boakes; C. Carbone; C. Connolly; M. J. Cutts; J. K. Foster; R. Grenyer; M. Habib; C. A. Plaster; S. A. Price; E. A. Rigby; J. Rist; A. Teacher; O. R. P. Bininda-Emonds; J. L. Gittleman; G. M. Mace; A. Purvis,2009,Ecology,"PanTHERIA: a species-level database of life-history, ecology, and geography of extant and recently extinct mammals",30,9,2648 only,10.1890/08-0286.1,,,,
Journal Article,A. Kaiser; C. J. Klok; J. J. Socha; W.-K. Lee; M. C. Quinlan; J. F. Harrison,2007,Proceedings of the National Academy of Sciences of the United States of America,Increase in tracheal investment with beetle size supports hypothesis of oxygen limitation on insect gigantism,104,32,13198-13203,10.1073/pnas.0611544104,,,,
Journal Article,K. J. Kaiyala; D. S. Ramsay,2011,Comparative Biochemistry and Physiology A - Molecular and Integrative Physiology,"Direct animal calorimetry, the underused gold standard for quantifying the fire of life",158,3,252-264,10.1016/j.cbpa.2010.04.013.,,,,
Book Section,M. Kaspari,2012,,Stoichiometry,,,34-47,,Metabolic ecology: a scaling approach,R. M. Sibly; J. H. Brown; A. Kodric-Brown,Chichester,John Wiley & Sons
Journal Article,M. R. Kearney; R. Shine; W. P. Porter,2009,Proceedings of the National Academy of Sciences of the United States of America,The potential for behavioral thermoregulation to buffer   cold-blooded   animals against climate warming,106,10,3835-3840,10.1073/pnas.0808913106,,,,
Journal Article,R. A. Kenner; S. I. Ahmed,1975,Marine Biology,Correlation between oxygen utilization and electron transport activity in marine phytoplankton,33,2,129-133,10.1007/BF00390717,,,,
Journal Article,C. J. Ketchum; R. K. Nakamoto,1998,Journal of Biological Chemistry,"A mutation in the Escherichia coli F0F1-ATP synthase rotor, gE208K, perturbs conformational coupling between transport and catalysis",273,35,22292-22297,10.1074/jbc.273.35.22292,,,,
Journal Article,S. S. Killen; D. Atkinson; D. S. Glazier,2010,Ecology Letters,The intraspecific scaling of metabolic rate with body mass in fishes depends on lifestyle and temperature,13,2,184-193,10.1111/j.1461-0248.2009.01415.x,,,,
Journal Article,T. Ki rboe; A. G. Hirst,2014,American Naturalist,"Shifts in mass scaling of respiration, feeding, and growth rates across life-form transitions in marine pelagic organisms",183,4,E118-E130,10.1086/675241,,,,
Journal Article,M. U. F. Kirschbaum,2006,Soil Biology & Biochemistry,The temperature dependence of organic-matter decomposition - still a topic of debate,38,9,2510-2518,10.1016/j.soilbio.2006.01.030,,,,
Journal Article,M. Kleiber,1932,Hilgardia,Body size and metabolism,6,11,315-353,10.3733/hilg.v06n11p315,,,,
Journal Article,M. Kleiber,1947,Physiological Reviews,Body size and metabolic rate,27,4,511-541,10.1152/physrev.1947.27.4.511,,,,
Book,M. Kleiber,1961,,,,,454,,The fire of life: an introduction to animal energetics,,New York,John Wiley & Sons
Journal Article,J. P. Klinman,2013,Biochemistry,Importance of protein dynamics during enzymatic C-H bond cleavage catalysis,52,12,2068-2077,10.1021/bi301504m,,,,
Journal Article,J. P. Klinman; A. Kohen,2013,Annual Review of Biochemistry,Hydrogen tunneling links protein dynamics to enzyme catalysis,82,,471-496,10.1146/annurev-biochem-051710-133623,,,,
Journal Article,J. L. Knies; J. G. Kingsolver,2010,American Naturalist,Erroneous Arrhenius: modified Arrhenius model best explains the temperature dependence of ectotherm fitness,176,2,227-233,10.1086/653662,,,,
Journal Article,T. Kolokotrones; V. M. Savage; E. J. Deeds; W. Fontana,2010,Nature,Curvature in metabolic scaling,464,7289,753-756,10.1038/nature08920,,,,
Journal Article,D.-G. Kontopoulos; B. Garc a-Carreras; S. Sal; T. P. Smith; S. S. Pawar,2018,PeerJ,Use and misuse of temperature normalisation in meta-analyses of thermal responses of biological traits,6,,article e4363,10.7717/peerj.4363,,,,
Book,S. A. L. M. Kooijman,2010,,,,,532,,Dynamic energy budget theory for metabolic organisation,,Cambridge,Cambridge University Press
Journal Article,M. Koopmans; D. Martens; R. H. Wijffels,2010,Marine Biotechnology,Growth efficiency and carbon balance for the sponge Haliclona oculata,12,3,340-349,10.1007/s10126-009-9228-8,,,,
Journal Article,J. Kowalke,2000,Journal of Experimental Marine Biology and Ecology,Ecology and energetics of two Antarctic sponges,247,1,85-97,10.1016/S0022-0981(00)00141-6,,,,
Journal Article,J. Koz?owski; M. Konarzewski; M. Czarnoleski,2020,Biological Reviews,Coevolution of body size and metabolic rate invertebrates: a life-history perspective,95,5,1393-1417,10.1111/brv.12615,,,,
Journal Article,J. Koz?owski; M. Konarzewski; A. T. Gawelczyk,2003,Proceedings of the National Academy of Sciences of the United States of America,Cell size as a link between noncoding DNA and metabolic rate scaling,100,24,14080-14085,10.1073/pnas.2334605100,,,,
Journal Article,P. Kremer; M. F. Canino; R. W. Gilmer,1986,Marine Biology,Metabolism of epipelagic tropical ctenophores,90,3,403-412,10.1007/BF00428564,,,,
Book,A. Krogh,1916,,,,,173,,The respiratory exchange of animals and man,R. H. A. Plimmer; F. G. Hopkins,London,Longmans Green
Journal Article,A. Krogh,1929,American Journal of Physiology,The progress of physiology,90,2,243-251,10.1152/ajplegacy.1929.90.2.243,,,,
Journal Article,Z. Kuplik; D. Karem; D. L. Angel,2021,Diversity,"Respiration rates, metabolic demands and feeding of ephyrae and young medusae of the rhizostome Rhopilema nomadica",13,7,Article 320,10.3390/d13070320,,,,
Journal Article,H. S. Kwak; H. G. Im; E. B. Shim,2016,Integrative Medicine Research,A model for allometric scaling of mammalian metabolism with ambient heat loss,5,1,30-36,10.1016/j.imr.2016.01.002,,,,
Journal Article,M. P. Laforge; E. Vander Wal; Q. M. R. Webber; C. Geremia; M. J. Kauffman; D. E. McWhirter; A. Middleton; T. W. Mong; K. L. Monteith; A. C. Ortega; H. Sawyer; J. Merkle,2025,Ecology Letters,Consistent individual differences and plasticity in migration behaviour of three North American ungulates,28,3,article e70101,10.1111/ele.70101,,,,
Journal Article,K. J. Laidler,1981,Pure and Applied Chemistry,Symbolism and terminology in chemical kinetics,53,3,753-771,10.1351/pac198153030753,,,,
Journal Article,K. J. Laidler,1984,Journal of Chemical Education,The development of the Arrhenius equation,61,6,494-498,10.1021/ed061p494,,,,
Journal Article,P. J. D. Lambshead; J. Tietjen; T. J. Ferrero; P. Jensen,2000,Marine Ecology Progress Series,Latitudinal diversity gradients in the deep sea with special reference to North Atlantic nematodes,194,,159-167,10.3354/meps194159,,,,
Journal Article,R. Lande,1993,American Naturalist,Risks of population extinction from demographic and environmental stochasticity and random catastrophes,142,6,911-927,10.1086/285580,,,,
Journal Article,A. M. Latimer,2007,Ecology,Geography and resource limitation complicate metabolism-based predictions of species richness,88,8,1895-1898,10.1890/06-1931.1,,,,
Journal Article,J. W. Lichstein; J. Dushoff; S. A. Levin; S. W. Pascala,2007,American Naturalist,Intraspecific variation and species coexistence,170,6,807-818,10.1086/522937,,,,
Journal Article,M. K. S. Lilley; D. Thibault-Botha; E. Lombard,2014,Journal of Plankton Research,Respiration demands increase significantly with both temperature and mass in the invasive ctenophore Mnemiopsis leidyi,36,3,831-837,10.1093/plankt/fbu008,,,,
Journal Article,R. L. Lindeman,1942,Ecology,The trophic-dynamic aspect of ecology,23,4,399-417,10.2307/1930126,,,,
Journal Article,S. L. Lindstedt; B. J. Miller; S. W. Buskirk,1986,Ecology,"Home range, time, and body size in mammals",67,2,413-418,10.2307/1938584,,,,
Journal Article,H. Liu; M. Sun; J. Zhang,2023,"Proceedings of the Royal Society of London, Series B",Genomic estimates of mutation and substitution rates contradict the evolutionary speed hypothesis of the latitudinal diversity gradient,290,2009,article 20231787,0.1098/rspb.2023.1787,,,,
Journal Article,N. J. MacKay,2011,Journal of Theoretical Biology,"Mass scale and curvature in metabolic scaling. Comment on: T. Kololotrones et al., Curvature in metabolic scaling, Nature 464 (2010) 753-756",280,1,194-196,10.1016/j.jtbi.2011.02.011,,,,
Journal Article,M. D. Mahecha; M. Reichstein; N. Carvalhais; G. Lasslop; H. Lange; S. I. Seneviratne; R. Vargas; C. Ammann; M. A. Arain; A. Cescatti; I. A. Janssens; M. Miglivacca; L. Montagnani; A. D. Richardson,2010,Science,Global convergence in the temperature sensitivity of respiration at ecosystem level,329,5993,838-840,10.1126/science.1189587,,,,
Journal Article,J. L. Maino; M. R. Kearney,2015,"Proceedings of the Royal Society of London, Series B",Testing mechanistic models of growth in insects,282,1819,article 20151973,10.1098/rspb.2015.1973,,,,
Journal Article,A. M. Makarieva; V. G. Gorshkov; B.-L. Li,2004,Ecological Modelling,Ontogenetic growth: models and theory,176,1,15-26,10.1016/j.ecolmodel.2003.09.037,,,,
Journal Article,C. P. Mangum,1963,Comparative Biochemistry and Physiology,Studies on speciation in maldanid polychaetes of the north american atlantic coast III. Intraspecific and interspecific divergence in oxygen consumption,10,4,335-349,10.1016/0010-406X(63)90232-9,,,,
Journal Article,C. P. Mangum; C. Sassaman,1969,Comparative Biochemistry and Physiology,Temperature sensitivity of active and resting metabolism in a polychaetous annelid,30,1,111-116,10.1016/0010-406X(69)91303-6,,,,
Journal Article,E. Mara  n,2008,Journal of Plankton Research,Inter-specific scaling of phytoplankton production and cell size in the field,30,2,157-163,10.1093/plankt/fbm087,,,,
Journal Article,C. L. Marchais; B. J. Bett; G. L. J. Paterson; K. L. Smith; H. A. Ruhl,2020,Deep-Sea Research Part II - Topical Studies in Oceanography,"Using metabolic theory to assess structure and function in the deep-sea benthos, including microbial and metazoan dominance",173,,article 104762,10.1016/j.dsr2.2020.104762,,,,
Journal Article,A. P. Martin,1995,Molecular Biology and Evolution,Metabolic rate and directional nucleotide substitution in animal mitochondrial DNA,12,6,1124-1131,10.1093/oxfordjournals.molbev.a040286,,,,
Journal Article,A. P. Martin,1999,Molecular Biology and Evolution,Substitution rates of organelle and nuclear genes in sharks: Implicating metabolic rate (again),16,7,996-1002,10.1093/oxfordjournals.molbev.a026189,,,,
Journal Article,A. P. Martin; S. R. Palumbi,1993,Proceedings of the National Academy of Sciences of the United States of America,"Body size, metabolic rate, generation time, and the molecular clock",90,9,4087-4091,10.1073/pnas.90.9.4087,,,,
Book,B. A. Maurer,1999,,,,,251,,Untangling ecological complexity,,Chicago & London,University of Chicago Press
Journal Article,C. R. McClain; A. P. Allen; D. P. Tittensor; M. A. Rex,2012,Proceedings of the National Academy of Sciences of the United States of America,Energetics of life on the deep seafloor,109,38,15366-15371,10.1073/pnas.1208976109,,,,
Journal Article,C. R. McClain; T. J. Webb; C. C. Nunnally; S. R. Dixon; S. Finnegan; J. A. Nelson,2020,Frontiers in Marine Science,Metabolic niches and biodiversity: a test case in the deep sea benthos,7,,article 216,10.3389/fmais.2020.00216,,,,
Journal Article,I. J. McGaw,2005,Microscopy and Microanalysis,The decapod crustacean circulatory system: a case that is neither open nor closed,11,1,18-36,10.1017/S1431927605050026,,,,
Book,R. P. McIntosh,1985,,,,,383,,The background of ecology: concept and theory,J. Beck; H. J. B. Birks; E. F. Connor,Cambridge,Cambridge University Press
Journal Article,B. K. McNab,1963,American Naturalist,Bioenergetics and the determination of home range size,67,894,413-418,10.1086/282264,,,,
Journal Article,B. K. McNab,1988,Quarterly Review of Biology,Complications inherent in scaling the basal rate of metabolism of mammals,63,1,25-54,10.1086/415715,,,,
Journal Article,T. D. Meehan,2006,Physiological and Biochemical Zoology,Mass and temperature dependence of metabolic rate in litter and soil invertebrates,79,5,878-884,10.1086/505997,,,,
Journal Article,F. C. Meinzer; B. J. Bond; J. M. Warren; D. R. Woodruff,2005,Functional Ecology,Does water transport scale universally with tree size?,19,4,558-565,10.1111/j.1365-2435.2005.01017.x,,,,
Book,E. Mendelsohn,1964,,,,,208,,Heat and life: the development of the theory of animal heat,,"Cambridge, Massachusetts",Harvard University Press
Journal Article,N. Meyer; G. Welp; W. Amelung,2018,Global Biogeochemical Cycles,The temperature sensitivity (Q10) of soil respiration: controlling factors and spatial prediction at regional scale based on environmental soil classes,32,2,306-323,10.1002/2017GB005644,,,,
Journal Article,S. T. Michaletz; J. C. Garen,2024,Ecology Letters,Hotter is not (always) better: embracing unimodal scaling of biological rates with temperature,27,2,article e14381,10.1111/ele.14381,,,,
Journal Article,M. Moretto; A. Minelli; G. Fusco,2015,The Science of Nature,Cell size versus body size in geophilomorph centipedes,102,,article 16,10.1007/s00114-015-1269-4,,,,
Journal Article,S. Mori; K. Yamaji; A. Ishida; S. Prokushkin; O. V. Masyagina; A. Hagihara; A. T. M. R. Hoque; R. Suwa; A. Osawa; T. Nishizono; T. Ueda; M. Kinjo; T. Miyagi; T. Kajimoto; Y. Koike; Y. Matsuura; T. Toma; O. A. Zyryanova; A. P. Abaimov; Y. Awaya; M. Araki; t. Kawasaki; Y. Chiba; M. Umari,2010,Proceedings of the National Academy of Sciences of the United States of America,Mixed-power scaling of whole-plant respiration from seedlings to giant trees,107,4,1447-1451,10.1073/pnas.0902554107,,,,
Book,H. J. Morowitz,1978,,,,,344,,Foundations of bioenergetics,,New York,Academic Press
Journal Article,J. P. Mortola,2023,Comprehensive Physiology,The mouse-to-elephant curve: historical overview,13,2,4513-4558,10.1002/cphy.c220003,,,,
Journal Article,M. E. Moses; C. Hou; W. H. Woodruff; G. B. West; J. C. Nekola; W. Zuo; J. H. Brown,2008,American Naturalist,Revisiting a model of ontogenetic growth: estimating model parameters from theory and data,171,5,632-645,10.1086/587073,,,,
Journal Article,K. A. Nagy,2005,Journal of Experimental Biology,Field metabolic rate and body size,208,9,1621-1625,10.1242/jeb.01553,,,,
Journal Article,F. Nakaya; Y. Saito; T. Motokawa,2003,"Proceedings of the Royal Society of London, Series B",Switching of metabolic-rate scaling between allometry and isometry in colonial ascidians,270,1520,1105-1113,10.1098/rspb.2003.2347,,,,
Journal Article,F. Nakaya; Y. Saito; T. Motokawa,2005,"Proceedings of the Royal Society of London, Series B",Experimental allometry: effect of size manipulation on metabolic rate of colonial ascidians,272,1575,1963-1969,10.1098/rspb.2005.3143,,,,
Journal Article,K. J. Niklas; B. J. Enquist,2001,Proceedings of the National Academy of Sciences of the United States of America,Invariant scaling relationships for interspecific plant biomass production rates and body size,98,5,2922-2927,10.1073/pnas.041590298,,,,
Journal Article,K. J. Niklas; S. T. Hammond,2014,International Journal of Plant Sciences,"Assessing scaling relationships: uses, abuses, and alternatives",175,7,754-763,10.1086/677238,,,,
Journal Article,K. J. Niklas; T. Owens; P. B. Reich; E. D. Cobb,2005,Ecology Letters,Nitrogen/phosphorus leaf stoichiometry and the scaling of plant growth,8,6,636-642,10.1111/j.1461-0248.2005.00759.x,,,,
Journal Article,K. J. Niklas; H.-C. Spatz,2006,American Journal of Botany,Allometric theory and the mechanical stability of large trees: Proof and conjecture,93,6,824-828,10.3732/ajb.93.6.824,,,,
Journal Article,K. J. Niklas; H.-C. Spatz,2012,American Journal of Botany,Mechanical properties of wood disproportionately increase with increasing density,99,1,169-170,10.3732/ajb.1100567,,,,
Journal Article,T. Norin; N. B. Metcalfe,2019,"Philosophical Transactions of the Royal Society of London, Series B",Ecological and evolutionary consequences of metabolic rate plasticity in response to environmental change,374,1768,article 20180180,10.1098/rstb.2018.0180,,,,
Journal Article,J. P. O'Dwyer; J. K. Lake; A. Ostling; V. M. Savage; J. L. Green,2009,Proceedings of the National Academy of Sciences of the United States of America,"An integrative framework for stochastic, size-structured community assembly",106,15,6170-6175,10.1073/pnas.0813041106,,,,
Journal Article,K. Oberweger; F. Goller,2001,Journal of Experimental Biology,The metabolic cost of birdsong production,204,19,3379-3388,10.1242/jeb.204.19.3379,,,,
Journal Article,E. P. Odum,1968,American Zoologist,Energy flow in ecosystems: a historical review,8,1,Nov-18,10.1093/icb/8.1.11,,,,
Journal Article,E. G. Ofstad; I. Herfindal; E. J. Solberg; B.-E. S ther,2016,"Proceedings of the Royal Society of London, Series B","Home ranges, habitat and body mass: simple correlates of home range size in ungulates",283,1845,article 20161234,10.1098/rspb.2016.1234,,,,
Journal Article,A. G. Ophir; S. B. Schrader; J. F. Gillooly,2010,Journal of Evolutionary Biology,Energetic cost of calling: general constraints and species-specific differences,23,7,1564-1569,10.1111/j.1420-9101.2010.02005.x,,,,
Journal Article,M. G. Orton; J. A. May; W. Ly; D. J. Lee; S. J. Adamowicz,2019,Heredity,Is molecular evolution faster in the tropics?,122,5,513-524,10.1038/s41437-018-0141-7,,,,
Journal Article,G. C. Packard; G. F. Birchard; T. J. Boardman,2011,Biological Reviews,Fitting statistical models in bivariate allometry,86,3,549-563,10.1111/j.1469-185X.2010.00160.x,,,,
Journal Article,G. D. Parry,1983,Journal of Theoretical Biology,The influence of the cost of growth on ectotherm metabolism,101,3,453-477,10.1016/0022-5193(83)90150-9,,,,
Journal Article,M. R. Patterson,1992,Science,A mass-transfer explanation of metabolic scaling relations in some aquatic invertebrates and algae,255,5050,1421-1423,10.1126/science.255.5050.1421,,,,
Journal Article,S. Pawar; A. I. Dell; V. M. Savage; J. L. Knies,2016,American Naturalist,Real versus artificial variation in the thermal sensitivity of biological traits,187,2,E41-E52,10.1086/684590,,,,
Journal Article,L. S. Peck; G. Chapelle,2003,"Proceedings of the Royal Society of London, Series B",Reduced oxygen at high altitude limits maximum size,270,,S166-S167,10.1098/rsbl.2003.0054,,,,
