# id: GB/NERC/BAS/PDC/02058
# title: A compilation of metabolic rate, body mass and body temperature (where available) data for a range of vertebrate and invertebrate species
# summary: Data on the resting metabolic rate, body mass and body temperature data for a range of vertebrate and invertebrate taxa culled from the literature for a comprehensive study of scaling relationships.
# : The data are global in extent.
# : Funding acknowledgement: 
# : BAS Core Funding
# keywords: mass,metabolic rate,scaling,temperature
# citation: Clarke, A., & Johnston, N.M. (2025). A compilation of metabolic rate, body mass and body temperature (where available) data for a range of vertebrate and invertebrate species (Version 1.0) [Data set]. NERC EDS UK Polar Data Centre. https://doi.org/10.5285/8d9ffd4a-16c0-4d48-9fc9-02988676ef78
# license: http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
# history: Data for mammals, birds, reptiles, echinoderms, cephalopods and cnidarians were from previous compilations available in the published scientific literature.  Data for fish were compiled from published studies, validated and collated.
# comment: With the exception of the data for teleost fish, data were extracted from the literature, relying on quality control by the original compiler.  The fish data were edited to exclude data where fish were active, or where the range of body mass was too small for scaling parameters to be determined with precision.
# : The data have not been processed other than converting original units to SI where appropriate. For publication the data were analysed using Minitab (version 16) and R (version 4.4.2).
# institution: British Antarctic Survey
# authors: Andrew Clarke,Nadine M. Johnston
# publisher_name: NERC EDS UK Polar Data Centre
# publisher_type: institution
# publisher_email: pdc@bas.ac.uk
# publisher_url: https://www.bas.ac.uk/data/uk-pdc/
# [a]: unique number for each data record
# [b]: live body mass (g)
# [c]: body temperature (Celsius)
# [d]: metabolic rate
# [e]: metabolic rate units (W or mW)
# [f]: score indicating which data were used when there are more than one record for a species (1 = used, 0 = not used)
# missing values:*
Ref [a],Phylum,Class,Species,Mb [b],Tb [c],MR [d],Unit (MR) [e],Usage [f]
324,Chordata,Mammalia,Acomys spinosissimus,27.02,*,0.246,W,1
325,Chordata,Mammalia,Acomys subspinosus,32.25,*,0.465,W,1
326,Chordata,Mammalia,Alticola argentatus,37.7,*,0.675,W,1
327,Chordata,Mammalia,Apodemus agrarius,21.2,*,0.373,W,1
328,Chordata,Mammalia,Apodemus flavicollis,23.9,36.7,0.242,W,1
329,Chordata,Mammalia,Apodemus mystacinus,40.4,35.5,0.312,W,1
330,Chordata,Mammalia,Apodemus sylvaticus,23.9,36.7,0.242,W,1
331,Chordata,Mammalia,Apodemus witherbyi,20.5,37,0.279,W,1
332,Chordata,Mammalia,Conilurus penicillatus,213.2,*,0.908,W,1
333,Chordata,Mammalia,Desmodillus auricularis,71.93,35.9,0.49,W,1
334,Chordata,Mammalia,Gerbilliscus afra,106.5,34,1.016,W,1
335,Chordata,Mammalia,Gerbilliscus leucogaster,157.62,35.1,0.74,W,1
336,Chordata,Mammalia,Gerbillurus paeba,33.9,38.7,0.194,W,1
337,Chordata,Mammalia,Gerbillurus setzeri,46.1,37.6,0.206,W,1
338,Chordata,Mammalia,Gerbillurus tytonis,29.9,36.9,0.177,W,1
339,Chordata,Mammalia,Gerbillurus vallinus,38.8,37.4,0.194,W,1
340,Chordata,Mammalia,Gerbillus andersoni,35.3,36.3,0.217,W,1
341,Chordata,Mammalia,Gerbillus dasyurus,27.6,38.6,0.163,W,1
342,Chordata,Mammalia,Gerbillus gerbillus,29.7,37.2,0.237,W,1
343,Chordata,Mammalia,Gerbillus nanus,28.4,38.8,0.124,W,1
344,Chordata,Mammalia,Gerbillus perpallidus,52.4,*,0.243,W,1
345,Chordata,Mammalia,Gerbillus pusillus,12.6,34.6,0.075,W,1
346,Chordata,Mammalia,Gerbillus pyramidum,108.5,36.1,0.454,W,1
347,Chordata,Mammalia,Golunda ellioti,56.2,*,0.339,W,1
348,Chordata,Mammalia,Hydromys chrysogaster,900,36.6,2.97,W,1
349,Chordata,Mammalia,Lemniscomys griselda,47.5,36.9,0.321,W,1
350,Chordata,Mammalia,Lemniscomys rosalia,50.53,36.5,0.343,W,1
351,Chordata,Mammalia,Mastomys natalensis,41.49,38,0.183,W,1
352,Chordata,Mammalia,Meriones hurrianae,69,36.1,0.304,W,1
353,Chordata,Mammalia,Meriones tristrami,112,36.5,0.55,W,1
354,Chordata,Mammalia,Meriones unguiculatus,67,38.2,0.43,W,1
355,Chordata,Mammalia,Micaelamys namaquensis,64.2,36.8,0.317,W,1
356,Chordata,Mammalia,Micromys minutus,7.37,38,0.118,W,1
357,Chordata,Mammalia,Millardia meltada,67.4,*,0.327,W,1
358,Chordata,Mammalia,Mus minutoides,8.06,36.3,0.134,W,1
359,Chordata,Mammalia,Mus musculus,13.2,36.7,0.365,W,1
360,Chordata,Mammalia,Mus spretus,21.8,*,0.345,W,1
361,Chordata,Mammalia,Myotomys sloggetti,113.29,38,0.746,W,1
362,Chordata,Mammalia,Myotomys unisulcatus,96,34.8,0.595,W,1
363,Chordata,Mammalia,Notomys alexis,32.3,38,0.252,W,1
364,Chordata,Mammalia,Notomys cervinus,34.2,38.5,0.233,W,1
365,Chordata,Mammalia,Otomys irroratus,102,37.6,0.474,W,1
366,Chordata,Mammalia,Parotomys brantsii,86.5,39.1,0.468,W,1
367,Chordata,Mammalia,Pseudomys gracilicaudatus,79.8,36.8,0.467,W,1
368,Chordata,Mammalia,Pseudomys hermannsburgensis,12.2,37.8,0.13,W,1
369,Chordata,Mammalia,Rattus colletti,165.7,*,0.686,W,1
370,Chordata,Mammalia,Rattus fuscipes,76,37.5,0.471,W,1
371,Chordata,Mammalia,Rattus lutreolus,109,36.7,0.353,W,1
372,Chordata,Mammalia,Rattus norvegicus,170,37.2,0.96,W,1
373,Chordata,Mammalia,Rattus rattus,117,*,0.77,W,1
374,Chordata,Mammalia,Rattus sordidus,187,39,0.595,W,1
375,Chordata,Mammalia,Rattus villosissimus,250.6,35.9,0.813,W,1
376,Chordata,Mammalia,Rhabdomys pumilio,39.6,37,0.179,W,1
377,Chordata,Mammalia,Sekeetamys calurus,56.9,37.5,0.248,W,1
378,Chordata,Mammalia,Tachyoryctes splendens,191,35.9,0.842,W,1
379,Chordata,Mammalia,Thallomys nigricauda,124.7,*,0.382,W,1
380,Chordata,Mammalia,Thallomys paedulcus,132.4,36.7,0.487,W,1
381,Chordata,Mammalia,Uromys caudimaculatus,812,37.1,3.184,W,1
382,Chordata,Mammalia,Pedetes capensis,2300,35.9,4.427,W,1
383,Chordata,Mammalia,Bathyergus janetta,406,34.7,1.201,W,1
384,Chordata,Mammalia,Bathyergus suillus,620,35.3,1.695,W,1
385,Chordata,Mammalia,Cryptomys amatus,79.5,35,0.299,W,1
386,Chordata,Mammalia,Cryptomys bocagei,94,33.7,0.388,W,1
387,Chordata,Mammalia,Cryptomys damarensis,138,35.2,0.439,W,1
388,Chordata,Mammalia,Cryptomys darlingi,60,33.3,0.317,W,1
389,Chordata,Mammalia,Cryptomys hottentotus,75,34.4,0.377,W,1
390,Chordata,Mammalia,Cryptomys mechowi,267,34,0.894,W,1
391,Chordata,Mammalia,Georychus capensis,195,36.4,0.645,W,1
392,Chordata,Mammalia,Heliophobius argenteocinereus,88,35.1,0.42,W,1
393,Chordata,Mammalia,Heterocephalus glaber,32,32.1,0.114,W,1
394,Chordata,Mammalia,Hystrix africaeaustralis,11300,37.5,13.175,W,1
395,Chordata,Mammalia,Coendou prehensilis,3280,36.7,5.123,W,1
396,Chordata,Mammalia,Erethizon dorsata,11136,37.5,15.531,W,1
397,Chordata,Mammalia,Chinchilla lanigera,426,35.7,1.117,W,1
398,Chordata,Mammalia,Lagostomus maximus,6784,36.8,10.597,W,1
399,Chordata,Mammalia,Cavia porcellus,629,39,1.93,W,1
400,Chordata,Mammalia,Dolichotis salinicola,1613,38.4,4.05,W,1
401,Chordata,Mammalia,Galea musteloides,322,37.3,1.473,W,1
402,Chordata,Mammalia,Hydrochoeris hydrochaeris,26385,37.1,36.798,W,1
403,Chordata,Mammalia,Kerodon rupestris,801,38.2,2.011,W,1
404,Chordata,Mammalia,Microcavia niata,255,*,0.98,W,1
405,Chordata,Mammalia,Dasyprocta azarae,3849,37.5,10.521,W,1
406,Chordata,Mammalia,Dasyprocta leporina,2687,38.3,8.694,W,1
407,Chordata,Mammalia,Myoprocta acouchy,914,35.4,2.804,W,1
408,Chordata,Mammalia,Cuniculus paca,9156,37.2,15.323,W,1
409,Chordata,Mammalia,Ctenomys australis,340,37.3,0.65,W,1
410,Chordata,Mammalia,Ctenomys fulvus,300,36.2,1.054,W,1
411,Chordata,Mammalia,Ctenomys maulinus,215,36.2,1.044,W,1
412,Chordata,Mammalia,Ctenomys opimus,214,36,0.591,W,1
413,Chordata,Mammalia,Ctenomys peruanus,490,35.2,1.23,W,1
414,Chordata,Mammalia,Ctenomys talarum,121,36.1,0.611,W,1
415,Chordata,Mammalia,Aconaemys fuscus,112,37.3,0.675,W,1
416,Chordata,Mammalia,Octodon bridgesi,176.1,*,1.023,W,1
417,Chordata,Mammalia,Octodon degus,193,37.6,0.949,W,1
418,Chordata,Mammalia,Octodon lunatus,173.2,*,0.957,W,1
419,Chordata,Mammalia,Octodontomys gliroides,152,37.2,0.729,W,1
420,Chordata,Mammalia,Octomys mimax,118.6,36.7,0.642,W,1
421,Chordata,Mammalia,Spalacopus cyanus,135,36.5,0.596,W,1
422,Chordata,Mammalia,Tympanoctomys barrerae,71.4,35.7,0.43,W,1
423,Chordata,Mammalia,Proechimys semispinosus,498,37.9,1.75,W,1
424,Chordata,Mammalia,Thrichomys apereoides,323,37.6,1.153,W,1
425,Chordata,Mammalia,Capromys pilorides,2630,36.1,3.375,W,1
426,Chordata,Mammalia,Geocapromys brownii,2456,*,4.11,W,1
427,Chordata,Mammalia,Geocapromys ingrahami,775,*,1.483,W,1
428,Chordata,Mammalia,Ochotona dauurica,127.7,*,1.389,W,1
429,Chordata,Mammalia,Ochotona princeps,109,40.1,0.932,W,1
430,Chordata,Mammalia,Brachylagus idahoensis,432,*,2.145,W,1
431,Chordata,Mammalia,Lepus alleni,3000,37.9,9.205,W,1
432,Chordata,Mammalia,Lepus americanus,1581,39.8,8.468,W,1
433,Chordata,Mammalia,Lepus arcticus,3004.4,38.9,6.036,W,1
434,Chordata,Mammalia,Lepus californicus,2300,39.2,7.314,W,1
435,Chordata,Mammalia,Lepus timidus,3025,39.7,11.815,W,1
436,Chordata,Mammalia,Lepus townsendii,2430,38.2,7.051,W,1
437,Chordata,Mammalia,Oryctolagus cuniculus,2000,39,6.36,W,1
438,Chordata,Mammalia,Sylvilagus audubonii,672.4,38.3,2.443,W,1
439,Chordata,Mammalia,Atelerix albiventris,450,35.2,0.828,W,1
440,Chordata,Mammalia,Echinosorex gymnura,721.2,36.3,2.816,W,1
441,Chordata,Mammalia,Erinaceus concolor,822.7,35.2,1.937,W,1
442,Chordata,Mammalia,Erinaceus europaeus,750,35.6,1.883,W,1
443,Chordata,Mammalia,Hemiechinus auritus,400,33.8,0.848,W,1
444,Chordata,Mammalia,Hylomys suillus,57.8,37.3,0.335,W,1
445,Chordata,Mammalia,Paraechinus aethiopicus,453,*,0.632,W,1
446,Chordata,Mammalia,Paraechinus aethiopicus,450,34.2,0.606,W,1
447,Chordata,Mammalia,Blarina brevicauda,20.5,38.3,0.336,W,1
448,Chordata,Mammalia,Blarina carolinensis,10.2,36.8,0.188,W,1
449,Chordata,Mammalia,Crocidura crossei,10.2,34.3,0.125,W,1
450,Chordata,Mammalia,Crocidura flavescens,33.2,*,0.248,W,1
451,Chordata,Mammalia,Crocidura hildegardeae,10,35.7,0.145,W,1
452,Chordata,Mammalia,Crocidura leucodon,11.7,*,0.166,W,1
453,Chordata,Mammalia,Crocidura luna,11.8,34.8,0.138,W,1
454,Chordata,Mammalia,Crocidura olivieri,38.9,35.3,0.326,W,1
455,Chordata,Mammalia,Crocidura poensis,17.3,35.5,0.173,W,1
456,Chordata,Mammalia,Crocidura russula,10.4,34.7,0.128,W,1
457,Chordata,Mammalia,Crocidura suaveolens,6.5,35.1,0.105,W,1
458,Chordata,Mammalia,Crocidura viaria,14.7,34.5,0.123,W,1
459,Chordata,Mammalia,Cryptotis parva,6.2,37,0.107,W,1
460,Chordata,Mammalia,Neomys anomalus,13.1,*,0.373,W,1
461,Chordata,Mammalia,Neomys fodiens,17.1,37.3,0.305,W,1
462,Chordata,Mammalia,Notiosorex crawfordi,4,37.6,0.074,W,1
463,Chordata,Mammalia,Sorex alpinus,7.9,38.6,0.269,W,1
464,Chordata,Mammalia,Sorex araneus,8.05,*,0.336,W,1
465,Chordata,Mammalia,Sorex cinereus,3.5,38.4,0.176,W,1
466,Chordata,Mammalia,Sorex coronatus,9.1,37.6,0.29,W,1
467,Chordata,Mammalia,Sorex minutus,4,38.5,0.172,W,1
468,Chordata,Mammalia,Sorex ornatus,9.7,*,0.292,W,1
469,Chordata,Mammalia,Sorex vagrans,5.2,38,0.157,W,1
470,Chordata,Mammalia,Suncus etruscus,2.4,38.7,0.08,W,1
471,Chordata,Mammalia,Suncus murinus,30.2,36,0.332,W,1
472,Chordata,Mammalia,Condylura cristata,49,37.7,0.615,W,1
473,Chordata,Mammalia,Neurotrichus gibbsii,11.8,38.4,0.259,W,1
474,Chordata,Mammalia,Scalopus aquaticus,48,36,0.378,W,1
475,Chordata,Mammalia,Scapanus latimanus,61,*,0.425,W,1
476,Chordata,Mammalia,Scapanus orarius,61.2,*,0.358,W,1
477,Chordata,Mammalia,Scapanus townsendii,130.1,*,0.607,W,1
478,Chordata,Mammalia,Cynopterus brachyotis,37.4,36.5,0.265,W,1
479,Chordata,Mammalia,Dobsonia anderseni,241.4,36.4,0.256,W,1
480,Chordata,Mammalia,Dobsonia minor,73.7,36.5,0.415,W,1
481,Chordata,Mammalia,Dobsonia moluccensis,404.3,36.8,2.052,W,1
482,Chordata,Mammalia,Dobsonia praedatrix,179.5,37.1,0.795,W,1
483,Chordata,Mammalia,Eonycteris spelaea,51.6,34,0.268,W,1
484,Chordata,Mammalia,Macroglossus minimus,15.9,36.2,0.103,W,1
485,Chordata,Mammalia,Megaloglossus woermanni,12.4,*,0.121,W,1
486,Chordata,Mammalia,Melonycteris melanops,53.3,34.9,0.242,W,1
487,Chordata,Mammalia,Nyctimene albiventer,30.9,35.9,0.152,W,1
488,Chordata,Mammalia,Nyctimene cyclotis,40.4,36,0.36,W,1
489,Chordata,Mammalia,Nyctimene major,13.6,33,0.114,W,1
490,Chordata,Mammalia,Paranyctimene raptor,23.6,33.8,0.137,W,1
491,Chordata,Mammalia,Pteropus giganteus,562.2,36.7,1.622,W,1
492,Chordata,Mammalia,Pteropus hypomelanus,520.8,35.7,1.618,W,1
493,Chordata,Mammalia,Pteropus poliocephalus,598,36.5,1.768,W,1
494,Chordata,Mammalia,Pteropus pumilus,194.2,36.1,0.705,W,1
495,Chordata,Mammalia,Pteropus rodricensis,254.5,36.5,0.753,W,1
496,Chordata,Mammalia,Pteropus scapulatus,362,37,1.353,W,1
497,Chordata,Mammalia,Pteropus vampyrus,1024.3,36.9,4.486,W,1
498,Chordata,Mammalia,Rousettus aegyptiacus,146,34.8,0.684,W,1
499,Chordata,Mammalia,Rousettus amplexicaudatus,91.5,36.5,0.582,W,1
500,Chordata,Mammalia,Syconycteris australis,15.9,35.9,0.122,W,1
501,Chordata,Mammalia,Hipposideros galeritus,8.5,31.9,0.05,W,1
502,Chordata,Mammalia,Rhinonicteris aurantia,8.27,36.1,0.09,W,1
503,Chordata,Mammalia,Macroderma gigas,148,37,0.776,W,1
504,Chordata,Mammalia,Peropteryx macrotis,5,34.4,0.065,W,1
505,Chordata,Mammalia,Saccopteryx bilineata,7.8,35.5,0.081,W,1
506,Chordata,Mammalia,Anoura caudifera,11.5,36.5,0.238,W,1
507,Chordata,Mammalia,Artibeus concolor,19.7,35.3,0.222,W,1
508,Chordata,Mammalia,Artibeus fimbriatus,63.9,*,0.435,W,1
509,Chordata,Mammalia,Artibeus jamaicensis,45.2,36.4,0.428,W,1
510,Chordata,Mammalia,Artibeus lituratus,70.1,37.3,0.602,W,1
511,Chordata,Mammalia,Carollia perspicillata,14.9,36.4,0.24,W,1
512,Chordata,Mammalia,Chiroderma doriae,19.9,*,0.173,W,1
513,Chordata,Mammalia,Chrotopterus auritus,96.1,37.2,0.788,W,1
514,Chordata,Mammalia,Desmodus rotundus,29.4,37.3,0.194,W,1
515,Chordata,Mammalia,Diaemus youngi,36.6,31.1,0.208,W,1
516,Chordata,Mammalia,Diphylla ecaudata,27.8,32.4,0.215,W,1
517,Chordata,Mammalia,Erophylla bombifrons,16.1,32,0.208,W,1
518,Chordata,Mammalia,Erophylla sezekorni,16.1,39.3,0.099,W,1
519,Chordata,Mammalia,Glossophaga soricina,9.6,35.5,0.164,W,1
520,Chordata,Mammalia,Leptonycteris curasoae,22,35.7,0.245,W,1
521,Chordata,Mammalia,Macrotus californicus,11.7,35,0.082,W,1
522,Chordata,Mammalia,Monophyllus redmani,8.7,34,0.062,W,1
523,Chordata,Mammalia,Phyllostomus discolor,33.5,34.6,0.267,W,1
524,Chordata,Mammalia,Phyllostomus elongatus,35.6,*,0.216,W,1
525,Chordata,Mammalia,Phyllostomus hastatus,84.2,34.7,0.559,W,1
526,Chordata,Mammalia,Platyrrhinus lineatus,21.9,36.4,0.25,W,1
527,Chordata,Mammalia,Rhinophylla fischerae,9.5,*,0.091,W,1
528,Chordata,Mammalia,Rhinophylla pumilio,9.5,34.7,0.104,W,1
529,Chordata,Mammalia,Sturnira lilium,21.9,36.4,0.297,W,1
530,Chordata,Mammalia,Sturnira tildae,20.5,*,0.223,W,1
531,Chordata,Mammalia,Tonatia bidens,27.4,37,0.307,W,1
532,Chordata,Mammalia,Uroderma bilobatum,16.2,35.1,0.176,W,1
533,Chordata,Mammalia,Vampyressa pusilla,8.8,*,0.104,W,1
534,Chordata,Mammalia,Mormoops blainvillei,8.6,32,0.045,W,1
535,Chordata,Mammalia,Mormoops megalophylla,16.5,36.9,0.136,W,1
536,Chordata,Mammalia,Pteronotus davyi,9.4,38.8,0.085,W,1
537,Chordata,Mammalia,Pteronotus parnellii,19.2,36.4,0.171,W,1
538,Chordata,Mammalia,Pteronotus personatus,14,37.5,0.128,W,1
539,Chordata,Mammalia,Pteronotus quadridens,4.9,31,0.034,W,1
540,Chordata,Mammalia,Noctilio albiventris,27,33.8,0.176,W,1
541,Chordata,Mammalia,Noctilio leporinus,61,34.5,0.4,W,1
542,Chordata,Mammalia,Natalus tumidirostris,5.4,32.2,0.046,W,1
543,Chordata,Mammalia,Eumops perotis,56,32.6,0.222,W,1
544,Chordata,Mammalia,Molossus molossus,15.6,31.4,0.126,W,1
545,Chordata,Mammalia,Nyctinomops laticaudatus,14,*,0.062,W,1
546,Chordata,Mammalia,Tadarida brasiliensis,16.9,36,0.113,W,1
547,Chordata,Mammalia,Antrozous pallidus,22,*,0.104,W,1
548,Chordata,Mammalia,Chalinolobus gouldii,17.5,35.5,0.141,W,1
549,Chordata,Mammalia,Eptesicus fuscus,10.4,36,0.116,W,1
550,Chordata,Mammalia,Histiotus velatus,11.2,30.5,0.088,W,1
551,Chordata,Mammalia,Miniopterus australis,107.2,39.1,0.085,W,1
552,Chordata,Mammalia,Miniopterus schreibersii,10.91,37.7,0.145,W,1
553,Chordata,Mammalia,Myotis lucifugus,5.2,37.2,0.05,W,1
554,Chordata,Mammalia,Myotis nigricans,3.7,*,0.027,W,1
555,Chordata,Mammalia,Myotis velifer,11.89,*,0.04,W,1
556,Chordata,Mammalia,Myotis vivesi,25,*,0.199,W,1
557,Chordata,Mammalia,Myotis yumanensis,5,*,0.047,W,1
558,Chordata,Mammalia,Nyctophilus geoffroyi,8,31.6,0.062,W,1
559,Chordata,Mammalia,Plecotus auritus,10.25,35.5,0.082,W,1
560,Chordata,Mammalia,Manis crassicaudata,15910,33.4,6.923,W,1
561,Chordata,Mammalia,Manis javanica,4220,32.3,6.23,W,1
562,Chordata,Mammalia,Manis pentadactyla,3637.5,33.4,3.727,W,1
563,Chordata,Mammalia,Manis tetradactyla,1430,33,1.278,W,1
564,Chordata,Mammalia,Manis tricuspis,1365,32.6,1.54,W,1
565,Chordata,Mammalia,Acinonyx jubatus,37900,39,50.107,W,1
566,Chordata,Mammalia,Leopardus pardalis,10500,38,17.439,W,1
567,Chordata,Mammalia,Leopardus wiedii,3600,38,5.227,W,1
568,Chordata,Mammalia,Leptailurus serval,1012,36.5,1.44,W,1
569,Chordata,Mammalia,Lynx rufus,9400,*,23.542,W,1
570,Chordata,Mammalia,Panthera leo,98000,37.9,94.58,W,1
571,Chordata,Mammalia,Panthera onca,50400,*,62.419,W,1
572,Chordata,Mammalia,Panthera tigris,137900,37.5,133.859,W,1
573,Chordata,Mammalia,Puma concolor,37200,37.6,49.326,W,1
574,Chordata,Mammalia,Puma yagouaroundi,8400,38.4,9.69,W,1
575,Chordata,Mammalia,Arctictis binturong,14280,36.7,12.747,W,1
576,Chordata,Mammalia,Arctogalidia trivirgata,2010,36.2,3.085,W,1
577,Chordata,Mammalia,Genetta tigrina,1698,*,4.167,W,1
578,Chordata,Mammalia,Paradoxurus hermaphroditus,3160,36.5,7.665,W,1
579,Chordata,Mammalia,Fossa fossana,2260,37.9,5.09,W,1
580,Chordata,Mammalia,Nandinia binotata,4270,37.4,4.814,W,1
581,Chordata,Mammalia,Galerella sanguinea,540,38.7,2.287,W,1
582,Chordata,Mammalia,Herpestes javanicus,611,39.8,2.248,W,1
583,Chordata,Mammalia,Suricata suricatta,850,36.3,1.729,W,1
584,Chordata,Mammalia,Hyaena hyaena,34300,*,31.954,W,1
585,Chordata,Mammalia,Proteles cristata,8100,36.4,12.239,W,1
586,Chordata,Mammalia,Canis latrans,10000,37,14.99,W,1
587,Chordata,Mammalia,Canis mesomelas,7720,38,21.533,W,1
588,Chordata,Mammalia,Cerdocyon thous,5444,38.2,8.502,W,1
589,Chordata,Mammalia,Lycaon pictus,8750,*,33.01,W,1
590,Chordata,Mammalia,Vulpes lagopus,3600,38.6,7.665,W,1
591,Chordata,Mammalia,Vulpes macrotis,1769,38,4.78,W,1
592,Chordata,Mammalia,Vulpes velox,1769,*,4.948,W,1
593,Chordata,Mammalia,Vulpes vulpes,4440,38.7,13.623,W,1
594,Chordata,Mammalia,Vulpes zerda,1215,38.8,3.252,W,1
595,Chordata,Mammalia,Melursus ursinus,66957,*,47.064,W,1
596,Chordata,Mammalia,Histriophoca fasciata,54000,*,118.59,W,1
597,Chordata,Mammalia,Pagophilus groenlandicus,150000,*,168.93,W,1
598,Chordata,Mammalia,Phoca vitulina,27400,*,73.29,W,1
599,Chordata,Mammalia,Eira barbara,2950,38.4,6.811,W,1
600,Chordata,Mammalia,Enhydra lutris,18000,38.5,67.278,W,1
601,Chordata,Mammalia,Gulo gulo,12700,*,31.765,W,1
602,Chordata,Mammalia,Lutra lutra,10000,38.1,25.104,W,1
603,Chordata,Mammalia,Martes americana,900,38,3.319,W,1
604,Chordata,Mammalia,Martes martes,920,*,4,W,1
605,Chordata,Mammalia,Meles meles,11050,*,16.647,W,1
606,Chordata,Mammalia,Mustela erminea,75,39.6,0.93,W,1
607,Chordata,Mammalia,Mustela frenata,225,39,1.344,W,1
608,Chordata,Mammalia,Neovison vison,660,39,2.722,W,1
609,Chordata,Mammalia,Taxidea taxus,9000,38,15.062,W,1
610,Chordata,Mammalia,Spilogale putorius,624,36.4,1.674,W,1
611,Chordata,Mammalia,Bassariscus sumichrasti,1280,38.8,3.537,W,1
612,Chordata,Mammalia,Nasua narica,3670,38.6,6.733,W,1
613,Chordata,Mammalia,Nasua nasua,4000,36.4,5.346,W,1
614,Chordata,Mammalia,Potos flavus,2343,36.1,4.441,W,1
615,Chordata,Mammalia,Procyon cancrivorus,1160,37.6,2.588,W,1
616,Chordata,Mammalia,Procyon lotor,5075,38,8.92,W,1
617,Chordata,Mammalia,Ailurus fulgens,5740,37.6,4.898,W,1
618,Chordata,Mammalia,Equus asinus,177500,*,164.92,W,1
619,Chordata,Mammalia,Sus scrofa,135000,*,104.15,W,1
620,Chordata,Mammalia,Pecari tajacu,20500,37.5,33.165,W,1
621,Chordata,Mammalia,Camelus dromedarius,407000,37.2,224.779,W,1
622,Chordata,Mammalia,Lama glama,115000,38.7,148.94,W,1
623,Chordata,Mammalia,Tragulus javanicus,1618,*,4.865,W,1
624,Chordata,Mammalia,Alces alces,325000,38.6,286.847,W,1
625,Chordata,Mammalia,Capreolus capreolus,21500,*,46.347,W,1
626,Chordata,Mammalia,Cervus elaphus,67000,*,112.43,W,1
627,Chordata,Mammalia,Odocoileus virginianus,58588,39,142.863,W,1
628,Chordata,Mammalia,Rangifer tarandus,85000,39.2,119.66,W,1
629,Chordata,Mammalia,Antilocapra americana,37800,*,51.981,W,1
630,Chordata,Mammalia,Bos taurus,347000,38.4,306.77,W,1
631,Chordata,Mammalia,Connochaetes taurinus,196500,*,230.073,W,1
632,Chordata,Mammalia,Kobus ellipsiprymnus,100000,*,148.949,W,1
633,Chordata,Mammalia,Madoqua kirkii,4290,*,11.966,W,1
634,Chordata,Mammalia,Oreamnos americanus,32000,38.6,46.414,W,1
635,Chordata,Mammalia,Ovis aries,*,39.4,0.508,W,0
636,Chordata,Mammalia,Ovis canadensis,69125,*,106.663,W,1
637,Chordata,Mammalia,Philantomba monticola,4200,*,10.075,W,1
638,Chordata,Mammalia,Raphicerus campestris,9600,39,20.619,W,1
639,Chordata,Mammalia,Taurotragus oryx,150000,39.1,200.83,W,1
640,Chordata,Aves,Psaltriparus minimus,5.5,40.2,0.11735064,W,1
641,Chordata,Aves,Sephanoides sephanoides,5.74,36.5,0.09803897,W,1
642,Chordata,Aves,Todus mexicanus,6.05,36.9,0.108712329,W,1
643,Chordata,Aves,Parula americana,7,38,0.1188054,W,1
644,Chordata,Aves,Lichmera indistincta,9,39,0.200723104,W,1
645,Chordata,Aves,Lonchura fuscans,9.5,38.9,0.09571782,W,1
646,Chordata,Aves,Dendroica dominica,9.8,39.7,0.155239056,W,1
647,Chordata,Aves,Dendroica palmarum,9.8,40.9,0.15048684,W,1
648,Chordata,Aves,Coereba flaveola,10,40.6,0.207438,W,1
649,Chordata,Aves,Parus atricapillus,10.3,38.25,0.22938512,W,1
650,Chordata,Aves,Geothlypis trichas,10.6,41,0.166198248,W,1
651,Chordata,Aves,Dendroica coronata,11.5,40.5,0.18216828,W,1
652,Chordata,Aves,Amphispiza bilineata,11.6,40.772,0.193659195,W,1
653,Chordata,Aves,Zosterops lateralis,11.78,36.9,0.154233655,W,1
654,Chordata,Aves,Spizella passerina,11.9,40.8,0.18593988,W,1
655,Chordata,Aves,Wilsonia citrina,12,41.2,0.20754576,W,1
656,Chordata,Aves,Pipra mentalis,12.3,37.9,0.18809508,W,1
657,Chordata,Aves,Empidonax virescens,12.3,40.5,0.170982792,W,1
658,Chordata,Aves,Spinus (Carduelus) tristis,12.8,39.3,0.292417536,W,1
659,Chordata,Aves,Protonotaria citrea,12.8,40.3,0.191036928,W,1
660,Chordata,Aves,Spinus (Carduelus) pinus,13.8,38.6,0.171758664,W,1
661,Chordata,Aves,Ammodramus savannarum,13.8,38.8,0.336081888,W,1
662,Chordata,Aves,Contopus virens,13.9,41.5,0.248645424,W,1
663,Chordata,Aves,Melithreptus lunatus,14.3,40.2,0.240391008,W,1
664,Chordata,Aves,Himatione sanguinea,14.5,40.95,0.30781644,W,1
665,Chordata,Aves,Melospiza georgiana,14.9,39.7,0.205519872,W,1
666,Chordata,Aves,Manacus vitellinus,15.5,37.9,0.22462572,W,1
667,Chordata,Aves,Passerculus sandwichensis,15.9,39.8,0.216743076,W,1
668,Chordata,Aves,Seiurus noveboracensis,18.7,41.7,0.269017452,W,1
669,Chordata,Aves,Phylidonyris melanops,18.8,40.2,0.282611376,W,1
670,Chordata,Aves,Seiurus aurocapillus,19,41.5,0.23238444,W,1
671,Chordata,Aves,Melospiza melodia,19.1,40.9,0.244927704,W,1
